
15.864,60.674,47.612,4.7612e+05
13.842,46.036,41.259,4.1259e+05
107.83,2751.9,19.109,1.9109e+05
62.65,930.91,20.248,2.0248e+05
91.384,1980.2,20.261,2.0261e+05
116.1,3192.7,20.146,2.0146e+05
62.702,931.5,20.438,2.0438e+05
75.668,1356.8,19.341,1.9341e+05
65.988,1030.9,18.611,1.8611e+05
120.2,3412.1,17.649,1.7649e+05
134.25,4290.9,19.473,1.9473e+05
90.341,1932.3,19.455,1.9455e+05
14.529,50.599,37.989,3.7989e+05
126.53,3799.1,21.423,2.1423e+05
106.03,2662.3,21.644,2.1644e+05
84.963,1707.2,18.652,1.8652e+05
140.91,4729.7,22.973,2.2973e+05
92.787,2046.4,22.195,2.2195e+05
93.572,2080,21.664,2.1664e+05
76.577,1398.4,24.541,2.4541e+05
99.423,2358.6,25.049,2.5049e+05
87.452,1819.3,23.625,2.3625e+05
67.676,1086.1,23.562,2.3562e+05
14.159,48.018,36.083,3.6083e+05
99.588,2358.1,24.145,2.4145e+05
105.89,2663.2,23.109,2.3109e+05
86.026,1756.2,22.745,2.2745e+05
265.86,16782,24.049,2.4049e+05
117.7,3298.6,24.512,2.4512e+05
108.46,2786.7,22.916,2.2916e+05
78.6,1466.1,23.846,2.3846e+05
78.095,1443.1,22.955,2.2955e+05
143.08,4845.6,19.375,1.9375e+05
99.238,2325.5,19.869,1.9869e+05
14.281,48.918,37.022,3.7022e+05
69.857,1157.9,21.423,2.1423e+05
118.74,3341.3,20.954,2.0954e+05
92.736,2037.2,21.054,2.1054e+05
105.9,2658.9,22.747,2.2747e+05
150.54,5396.9,24.559,2.4559e+05
102.2,2487.3,24.383,2.4383e+05
105.12,2618.9,23.638,2.3638e+05
86.853,1788.5,22.717,2.2717e+05
133.69,4223.1,21.553,2.1553e+05
64.092,970.92,20.687,2.0687e+05
13.313,42.678,43.752,4.3752e+05
130.07,3993.6,19.084,1.9084e+05
141.02,4724.4,22.144,2.2144e+05
124.51,3668.5,21.309,2.1309e+05
67.449,1075.9,21.341,2.1341e+05
142.65,4806.2,19.357,1.9357e+05
112.66,3002.4,20.361,2.0361e+05
75.235,1338.5,20.627,2.0627e+05
79.263,1482.6,19.248,1.9248e+05
141.45,4740.2,21.146,2.1146e+05
116.18,3201.8,21.2,2.12e+05
14.464,50.273,37.675,3.7675e+05
96.985,2230,21.199,2.1199e+05
100.2,2383.5,22.784,2.2784e+05
148.7,5225.9,19.385,1.9385e+05
114.61,3105.2,19.053,1.9053e+05
68.005,1096.2,19.906,1.9906e+05
99.913,2361.5,19.593,1.9593e+05
