6.32,4.3173,3.1155,3.0738,2.0872,1.9757,1.7203,1.6655,1.4612,1.1661,1
3.8808,1.9333,1.5039,1.102,1.0819,0.9219,0.73677,0.69738,0.6198,0.50853,1
10.937,2.6114,2.4571,1.9496,1.7201,1.5244,1.2917,1.1367,0.93937,0.8827,1
1.5809,1.3276,1.1285,1.0261,0.87196,0.80572,0.75021,0.64559,0.58793,0.54945,1
2.965,1.5073,0.49203,0.39541,0.3315,0.31128,0.2498,0.2108,0.20529,0.16627,1
16.754,13.695,12.229,9.6305,7.9726,7.281,6.7548,6.0581,5.6077,5.1779,1
1.0059,0.61917,0.47631,0.40383,0.32589,0.29818,0.27757,0.23193,0.20778,0.19262,1
5.6054,4.5988,4.321,3.6087,3.0563,2.6207,2.3232,2.0027,1.9419,1.7267,1
2.8816,2.609,2.1985,1.7647,1.6283,1.5727,1.479,1.2372,1.0773,1.0341,1
28.746,4.3268,4.1068,3.9618,2.8012,2.6957,2.4995,2.0762,1.8496,1.7337,1
7.9237,5.8266,5.2498,4.5264,3.8176,3.6852,3.4797,2.9335,2.8113,2.4095,1
1.0471,0.64508,0.58177,0.48542,0.38557,0.35318,0.29599,0.2632,0.23199,0.21242,1
14.807,13.162,11.431,9.8661,8.016,6.7894,6.3878,6.144,4.6778,4.3862,1
7.5911,3.0766,2.4912,2.0999,1.93,1.7713,1.4086,1.3412,1.1303,1.0528,1
12.045,9.3038,8.3377,6.8397,5.9519,5.7229,5.241,4.9828,4.6613,4.0866,1
2.5366,2.027,1.3373,1.2822,1.1477,0.82763,0.73771,0.67958,0.57623,0.53274,1
9.309,5.8973,5.3863,4.6525,4.4726,4.0719,3.6954,3.6107,3.328,3,1
7.1669,5.3707,5.1792,3.9322,3.7372,3.253,2.9709,2.5173,2.3305,2.1083,1
0.35184,0.33103,0.31876,0.24089,0.22008,0.1952,0.17298,0.16026,0.13599,0.12318,1
0.10281,0.088766,0.054326,0.043556,0.036686,0.02737,0.02504,0.022609,0.02209,0.018781,1
0.011786,0.011258,0.0098534,0.0075254,0.0062987,0.005707,0.0049074,0.0042909,0.0035729,0.0031532,0
0.0079635,0.0061668,0.0046786,0.0037408,0.0032972,0.0029173,0.0025681,0.0021797,0.002022,0.0017574,0
0.047549,0.018034,0.015145,0.012507,0.011095,0.010486,0.0092354,0.0069011,0.0066223,0.0064411,0
