
26.348,167.93,36.975,3.6975e+05
26.598,171.41,42.499,4.2499e+05
21.03,107.15,56.24,5.624e+05
21.237,109.33,58.016,5.8016e+05
18.887,86.412,53.773,5.3773e+05
22.414,121.87,57.755,5.7755e+05
23.923,139.16,59.753,5.9753e+05
28.041,191.18,47.59,4.759e+05
31.46,240.38,55.57,5.557e+05
37.33,339.18,58.489,5.8489e+05
52.114,661.35,64.181,6.4181e+05
23.301,131.71,43.476,4.3476e+05
35.072,299,62.659,6.2659e+05
54.315,718.2,70.35,7.035e+05
33.401,271.28,62.058,6.2058e+05
31.423,240.18,60.605,6.0605e+05
23.043,128.72,57.908,5.7908e+05
35.815,311.82,66.393,6.6393e+05
65.676,1056.7,53.586,5.3586e+05
35.809,311.76,66.745,6.6745e+05
21.703,114.47,55.765,5.5765e+05
22.482,122.62,60.628,6.0628e+05
25.173,153.83,59.21,5.921e+05
